HCP_ID,STATE,HCP_SPECIALTY,HCP_AGE,HCP_GENDER,STATE_NAME
207,GA,PHYSICIAN ASSISTANT,,U-Unknown,Georgia
208,IL,"STUDENT, HEALTH CARE",,U-Unknown,Illinois
209,CA,ANCILLARY SERVICES,,U-Unknown,California
210,NH,NURSE PRACTITIONER,,U-Unknown,New Hampshire
211,MN,"STUDENT, HEALTH CARE",,U-Unknown,Minnesota
212,IL,PHYSICIAN ASSISTANT,,U-Unknown,Illinois
213,FL,PHYSICIAN ASSISTANT,,U-Unknown,Florida
214,NY,NURSE PRACTITIONER,,U-Unknown,New York
215,MA,PHYSICIAN ASSISTANT,,U-Unknown,Massachusetts
216,NC,PHYSICIAN ASSISTANT,,U-Unknown,North Carolina
217,IL,INTERNAL MEDICINE,,U-Unknown,Illinois
218,OH,EMERGENCY MEDICINE,,U-Unknown,Ohio
219,IN,NURSE PRACTITIONER,,U-Unknown,Indiana
220,SC,PHYSICIAN ASSISTANT,,U-Unknown,South Carolina
221,DC,BEHAVIORAL HEALTH & SOCIAL SERVICES,,U-Unknown,
222,MN,INTERNAL MEDICINE,,U-Unknown,Minnesota
223,CA,PHYSICIAN ASSISTANT,,U-Unknown,California
224,TX,INTERNAL MEDICINE,,U-Unknown,Texas
225,MN,PHYSICIAN ASSISTANT,,U-Unknown,Minnesota
226,NY,INTERNAL MEDICINE,,U-Unknown,New York
227,AZ,RADIATION ONCOLOGY,,U-Unknown,Arizona
228,NY,PHYSICIAN ASSISTANT,,U-Unknown,New York
229,CA,OPTOMETRIST,,U-Unknown,California
230,IL,NURSE PRACTITIONER,,U-Unknown,Illinois
231,NE,NURSE PRACTITIONER,,U-Unknown,Nebraska
232,PA,PHYSICAL THERAPY,,U-Unknown,Pennsylvania
233,NY,NURSE PRACTITIONER,,U-Unknown,New York
234,CO,PHYSICIAN ASSISTANT,,U-Unknown,Colorado
235,NC,EMERGENCY MEDICINE,,U-Unknown,North Carolina
236,NY,PHYSICIAN ASSISTANT,,U-Unknown,New York
237,NM,PHYSICIAN ASSISTANT,,U-Unknown,New Mexico
238,MI,PHYSICIAN ASSISTANT,,U-Unknown,Michigan
239,VA,PHYSICIAN ASSISTANT,,U-Unknown,Virginia
240,WI,PHYSICIAN ASSISTANT,,U-Unknown,Wisconsin
241,ME,PHYSICIAN ASSISTANT,,U-Unknown,Maine
242,VA,PHYSICAL THERAPY,,U-Unknown,Virginia
243,OH,CASE MANAGER / CARE COORDINATOR,,U-Unknown,Ohio
244,AR,PHYSICIAN ASSISTANT,,U-Unknown,Arkansas
245,NY,EMERGENCY MEDICINE,,U-Unknown,New York
246,IA,PHYSICIAN ASSISTANT,,U-Unknown,Iowa
247,OH,NURSE PRACTITIONER,,U-Unknown,Ohio
248,NY,DIAGNOSTIC RADIOLOGY,,U-Unknown,New York
249,NY,THORACIC SURGERY,,U-Unknown,New York
250,KS,NURSE PRACTITIONER,,U-Unknown,Kansas
251,MD,NURSE PRACTITIONER,,U-Unknown,Maryland
252,WA,NURSE PRACTITIONER,,U-Unknown,Washington
253,CA,PHYSICIAN ASSISTANT,,U-Unknown,California
254,ME,PHYSICIAN ASSISTANT,,U-Unknown,Maine
255,CA,NURSE PRACTITIONER,,U-Unknown,California
256,NY,PHYSICIAN ASSISTANT,,U-Unknown,New York
257,LA,NURSE PRACTITIONER,,U-Unknown,Louisiana
258,NC,PHYSICIAN ASSISTANT,,U-Unknown,North Carolina
259,TN,NURSE PRACTITIONER,,U-Unknown,Tennessee
260,LA,NURSE PRACTITIONER,,U-Unknown,Louisiana
261,AL,NURSE PRACTITIONER,,U-Unknown,Alabama
262,NC,PHYSICIAN ASSISTANT,,U-Unknown,North Carolina
263,VA,PHYSICIAN ASSISTANT,,U-Unknown,Virginia
264,MD,NURSE PRACTITIONER,,U-Unknown,Maryland
265,LA,NURSE PRACTITIONER,,U-Unknown,Louisiana
266,WA,NURSE PRACTITIONER,,U-Unknown,Washington
267,SC,EMERGENCY MEDICINE,,U-Unknown,South Carolina
268,AZ,NURSE PRACTITIONER,,U-Unknown,Arizona
269,CA,PHYSICIAN ASSISTANT,,U-Unknown,California
270,IN,NURSE PRACTITIONER,,U-Unknown,Indiana
271,TX,CERTIFIED NURSE ANESTHETIST,,U-Unknown,Texas
272,MS,NURSE PRACTITIONER,,U-Unknown,Mississippi
273,MD,NURSE PRACTITIONER,,U-Unknown,Maryland
274,FL,NURSE PRACTITIONER,,U-Unknown,Florida
275,CO,PHYSICAL THERAPY,,U-Unknown,Colorado
276,MD,BEHAVIORAL HEALTH & SOCIAL SERVICES,,U-Unknown,Maryland
277,CT,PHYSICIAN ASSISTANT,,U-Unknown,Connecticut
278,CA,PHYSICIAN ASSISTANT,,U-Unknown,California
279,OH,CASE MANAGER / CARE COORDINATOR,,U-Unknown,Ohio
280,NC,PHYSICIAN ASSISTANT,,U-Unknown,North Carolina
281,FL,NURSE PRACTITIONER,,U-Unknown,Florida
282,TX,PHYSICIAN ASSISTANT,,U-Unknown,Texas
283,MI,PHYSICIAN ASSISTANT,,U-Unknown,Michigan
284,MO,PHYSICIAN ASSISTANT,,U-Unknown,Missouri
285,FL,PHYSICIAN ASSISTANT,,U-Unknown,Florida
286,MD,PHYSICIAN ASSISTANT,,U-Unknown,Maryland
287,TN,NURSE PRACTITIONER,,U-Unknown,Tennessee
288,HI,NURSE PRACTITIONER,,U-Unknown,Hawaii
289,HI,PSYCHOLOGY,,U-Unknown,Hawaii
290,WA,PHYSICIAN ASSISTANT,,U-Unknown,Washington
291,TN,PHYSICIAN ASSISTANT,,U-Unknown,Tennessee
292,DE,REGISTERED DIETICIAN,,U-Unknown,Delaware
293,TN,CERTIFIED NURSE ANESTHETIST,,U-Unknown,Tennessee
294,NY,PHYSICIAN ASSISTANT,,U-Unknown,New York
295,CA,NURSE PRACTITIONER,,U-Unknown,California
296,IN,PHYSICIAN ASSISTANT,,U-Unknown,Indiana
297,IN,PHYSICIAN ASSISTANT,,U-Unknown,Indiana
298,NJ,PHYSICIAN ASSISTANT,,U-Unknown,New Jersey
299,VA,NURSE PRACTITIONER,,U-Unknown,Virginia
300,IN,PHYSICIAN ASSISTANT,,U-Unknown,Indiana
301,PR,GENERAL PRACTICE,,U-Unknown,Puerto Rico
302,TN,NURSE PRACTITIONER,,U-Unknown,Tennessee
303,WA,NURSE PRACTITIONER,,U-Unknown,Washington
304,MI,PEDIATRICS,,U-Unknown,Michigan
305,TX,NURSE PRACTITIONER,,U-Unknown,Texas
306,MI,NURSE PRACTITIONER,,U-Unknown,Michigan
307,MN,PHYSICIAN ASSISTANT,,U-Unknown,Minnesota
308,TX,PHYSICIAN ASSISTANT,,U-Unknown,Texas
309,FL,PHYSICIAN ASSISTANT,,U-Unknown,Florida
310,CA,PHYSICIAN ASSISTANT,,U-Unknown,California
311,CA,PHYSICIAN ASSISTANT,,U-Unknown,California
312,NM,PHYSICIAN ASSISTANT,,U-Unknown,New Mexico
313,IA,NURSE PRACTITIONER,,U-Unknown,Iowa
314,CA,FAMILY MEDICINE,,U-Unknown,California
315,FL,NURSE PRACTITIONER,,U-Unknown,Florida
316,TX,PERFUSIONIST,,U-Unknown,Texas
317,WA,PHYSICIAN ASSISTANT,,U-Unknown,Washington
318,PA,NURSE PRACTITIONER,,U-Unknown,Pennsylvania
319,FL,NURSE PRACTITIONER,,U-Unknown,Florida
320,MI,PHYSICIAN ASSISTANT,,U-Unknown,Michigan
321,PA,PHYSICIAN ASSISTANT,,U-Unknown,Pennsylvania
322,CA,NURSE PRACTITIONER,,U-Unknown,California
323,AZ,PHYSICIAN ASSISTANT,,U-Unknown,Arizona
324,WA,PHYSICIAN ASSISTANT,,U-Unknown,Washington
325,KY,PHYSICIAN ASSISTANT,,U-Unknown,Kentucky
326,GA,PHYSICIAN ASSISTANT,,U-Unknown,Georgia
327,CA,PHYSICIAN ASSISTANT,,U-Unknown,California
328,CO,PHYSICIAN ASSISTANT,,U-Unknown,Colorado
329,DE,NURSE PRACTITIONER,,U-Unknown,Delaware
330,VA,PHYSICIAN ASSISTANT,,U-Unknown,Virginia
331,GA,PHYSICIAN ASSISTANT,,U-Unknown,Georgia
332,MI,PHYSICAL THERAPY,,U-Unknown,Michigan
333,CA,REGISTERED DIETICIAN,,U-Unknown,California
334,KY,NURSE PRACTITIONER,,U-Unknown,Kentucky
335,NC,NURSE PRACTITIONER,,U-Unknown,North Carolina
336,FL,NURSE PRACTITIONER,,U-Unknown,Florida
337,MI,NURSE PRACTITIONER,,U-Unknown,Michigan
338,NY,NURSE PRACTITIONER,,U-Unknown,New York
339,NY,PHYSICIAN ASSISTANT,,U-Unknown,New York
340,WA,PHYSICIAN ASSISTANT,,U-Unknown,Washington
341,CA,PHYSICIAN ASSISTANT,,U-Unknown,California
342,FL,PHYSICIAN ASSISTANT,,U-Unknown,Florida
343,MI,PHYSICIAN ASSISTANT,,U-Unknown,Michigan
344,CO,PHYSICIAN ASSISTANT,,U-Unknown,Colorado
345,RI,NURSE PRACTITIONER,,U-Unknown,Rhode Island
346,NC,PHYSICIAN ASSISTANT,,U-Unknown,North Carolina
347,TX,NURSE PRACTITIONER,,U-Unknown,Texas
348,OH,NURSE PRACTITIONER,,U-Unknown,Ohio
349,MI,PHYSICIAN ASSISTANT,,U-Unknown,Michigan
350,IL,FAMILY MEDICINE,,U-Unknown,Illinois
351,TX,PHYSICIAN ASSISTANT,,U-Unknown,Texas
352,AL,NURSE PRACTITIONER,,U-Unknown,Alabama
353,VA,PHYSICAL THERAPY,,U-Unknown,Virginia
354,SC,PHYSICIAN ASSISTANT,,U-Unknown,South Carolina
355,TX,PHYSICIAN ASSISTANT,,U-Unknown,Texas
356,CO,PHYSICIAN ASSISTANT,,U-Unknown,Colorado
357,PA,PHYSICAL THERAPY,,U-Unknown,Pennsylvania
358,LA,PHYSICIAN ASSISTANT,,U-Unknown,Louisiana
359,CA,INTERNAL MEDICINE,,U-Unknown,California
360,DE,NURSE PRACTITIONER,,U-Unknown,Delaware
361,VA,INTERNAL MEDICINE,,U-Unknown,Virginia
362,LA,NURSE PRACTITIONER,,U-Unknown,Louisiana
363,NY,NURSE PRACTITIONER,,U-Unknown,New York
364,NY,NURSE PRACTITIONER,,U-Unknown,New York
365,VA,NURSE PRACTITIONER,,U-Unknown,Virginia
366,NJ,PHYSICIAN ASSISTANT,,U-Unknown,New Jersey
367,FL,PHYSICIAN ASSISTANT,,U-Unknown,Florida
368,MI,PHYSICIAN ASSISTANT,,U-Unknown,Michigan
369,NY,PHYSICIAN ASSISTANT,,U-Unknown,New York
370,NY,PHYSICIAN ASSISTANT,,U-Unknown,New York
371,TX,NURSE PRACTITIONER,,U-Unknown,Texas
372,LA,NURSE PRACTITIONER,,U-Unknown,Louisiana
373,NY,NURSE PRACTITIONER,,U-Unknown,New York
374,DE,NURSE PRACTITIONER,,U-Unknown,Delaware
375,VA,PHYSICIAN ASSISTANT,,U-Unknown,Virginia
376,VA,PHYSICIAN ASSISTANT,,U-Unknown,Virginia
377,TX,NURSE PRACTITIONER,,U-Unknown,Texas
378,AR,NURSE PRACTITIONER,,U-Unknown,Arkansas
379,SD,NURSE PRACTITIONER,,U-Unknown,South Dakota
380,NY,PHYSICIAN ASSISTANT,,U-Unknown,New York
381,TN,NURSE PRACTITIONER,,U-Unknown,Tennessee
382,DE,NURSE PRACTITIONER,,U-Unknown,Delaware
383,NY,NURSE PRACTITIONER,,U-Unknown,New York
384,PR,GENERAL PRACTICE,,U-Unknown,Puerto Rico
385,CA,PHYSICIAN ASSISTANT,,U-Unknown,California
386,MN,PHYSICIAN ASSISTANT,,U-Unknown,Minnesota
387,NY,PHYSICIAN ASSISTANT,,U-Unknown,New York
388,MA,FAMILY MEDICINE,,U-Unknown,Massachusetts
389,MD,NURSE PRACTITIONER,,U-Unknown,Maryland
390,NM,NURSE PRACTITIONER,,U-Unknown,New Mexico
391,MA,NURSE PRACTITIONER,,U-Unknown,Massachusetts
392,CA,OPHTHALMOLOGY,,U-Unknown,California
393,IN,PHYSICIAN ASSISTANT,,U-Unknown,Indiana
394,NY,NURSE PRACTITIONER,,U-Unknown,New York
395,NV,CERTIFIED NURSE ANESTHETIST,,U-Unknown,Nevada
396,TX,NURSE PRACTITIONER,,U-Unknown,Texas
397,NY,NURSE PRACTITIONER,,U-Unknown,New York
398,OH,PHYSICIAN ASSISTANT,,U-Unknown,Ohio
399,NY,NURSE PRACTITIONER,,U-Unknown,New York
400,RI,NURSE PRACTITIONER,,U-Unknown,Rhode Island
401,IL,PHYSICIAN ASSISTANT,,U-Unknown,Illinois
402,MI,PHYSICIAN ASSISTANT,,U-Unknown,Michigan
403,NJ,PHYSICIAN ASSISTANT,,U-Unknown,New Jersey
404,TX,PHYSICIAN ASSISTANT,,U-Unknown,Texas
405,NC,NURSE PRACTITIONER,,U-Unknown,North Carolina
406,WA,PHYSICAL THERAPY,,U-Unknown,Washington
407,LA,NURSE PRACTITIONER,,U-Unknown,Louisiana
408,CA,FAMILY MEDICINE,,U-Unknown,California
409,FL,EMERGENCY MEDICINE,,U-Unknown,Florida
410,TN,NURSE PRACTITIONER,,U-Unknown,Tennessee
411,NH,PHYSICIAN ASSISTANT,,U-Unknown,New Hampshire
412,NY,PHYSICAL THERAPY,,U-Unknown,New York
413,IN,NURSE PRACTITIONER,,U-Unknown,Indiana
414,IN,CERTIFIED NURSE ANESTHETIST,,U-Unknown,Indiana
415,NY,NURSE PRACTITIONER,,U-Unknown,New York
416,LA,NURSE PRACTITIONER,,U-Unknown,Louisiana
417,PA,DENTIST,,U-Unknown,Pennsylvania
418,GA,NURSE PRACTITIONER,,U-Unknown,Georgia
419,FL,PHYSICIAN ASSISTANT,,U-Unknown,Florida
420,KY,NURSE PRACTITIONER,,U-Unknown,Kentucky
421,AR,EMERGENCY MEDICINE,,U-Unknown,Arkansas
422,SD,OPTOMETRIST,,U-Unknown,South Dakota
423,NY,EMERGENCY MEDICINE,,U-Unknown,New York
424,OH,NURSE PRACTITIONER,,U-Unknown,Ohio
425,CA,PHYSICIAN ASSISTANT,,U-Unknown,California
426,PR,CERTIFIED NURSE ANESTHETIST,,U-Unknown,Puerto Rico
427,NV,FAMILY MEDICINE,,U-Unknown,Nevada
428,NJ,"STUDENT, HEALTH CARE",,U-Unknown,New Jersey
429,NY,PHYSICIAN ASSISTANT,,U-Unknown,New York
